,Name,Remote Name,Formula,Comment
165,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1_Y],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_P1_Y (copy)_292734014338695186],IF [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_NORMALIZACAO_GERAL] >= [Parameters].[PARAM_REGRA_CORES_INFERIOR_BN] AND  [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_NORMALIZACAO_GERAL] <= [Parameters].[PARAM_REGRA_CORES_SUPERIOR_BN] THEN ([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1]) ELSE NULL END ,
166,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P2],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_P2 (copy)_943504152670883840],SUM([VAL_PAGO_REEMBOLSO_HONORARIO_MEDICO_P2]) / SUM([QTD_TOTAL_INTERNACAO_P2]) ,
167,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_P2],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1 (copy)_197876937988124702],SUM([VAL_PAGO_REDE_HONORARIO_MEDICO_P2]) / SUM([QTD_TOTAL_INTERNACAO_P2]) ,
168,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1 (copy)_197876938251411493],SUM([VAL_CUSTO_REDE_HOSPITALAR_P1]) / SUM([QTD_TOTAL_INTERNACAO_P1]) ,
169,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_P1_G],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_G (copy)_292734014337110029],IF [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_NORMALIZACAO_GERAL] < [Parameters].[PARAM_REGRA_CORES_INFERIOR_BN] THEN ([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_P1]) ELSE NULL END ,
170,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_PRESTADOR],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_PRESTADOR (copy)_197876938251411494],( { FIXED [NME_FANTASIA_PRESTADOR]  :  SUM([VAL_CUSTO_REDE_HOSPITALAR_P1]) / SUM([QTD_TOTAL_INTERNACAO_P1]) } ) ,// INDICADOR 
171,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_GERAL],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_PRESTADOR (copy)_502714352503709700],( { FIXED   :  SUM([VAL_CUSTO_REDE_HOSPITALAR_P1]) / SUM([QTD_TOTAL_INTERNACAO_P1]) } ) ,// INDICADOR 
172,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_P1_R],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_R (copy)_292734014337110030],IF [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_NORMALIZACAO_GERAL] > [Parameters].[PARAM_REGRA_CORES_SUPERIOR_BN] THEN ([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_P1]) ELSE NULL END ,
173,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_P1_Y],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_Y (copy)_292734014337110031],IF [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_NORMALIZACAO_GERAL] >= [Parameters].[PARAM_REGRA_CORES_INFERIOR_BN] AND  [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_NORMALIZACAO_GERAL] <= [Parameters].[PARAM_REGRA_CORES_SUPERIOR_BN] THEN ([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_P1]) ELSE NULL END ,
174,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P2],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P2 (copy)_197876938251411492],SUM([VAL_CUSTO_REDE_HOSPITALAR_P2]) / SUM([QTD_TOTAL_INTERNACAO_P2]) ,
175,[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1 (copy)_943504153310138382],SUM([VAL_PAGO_REDE_MATERIAIS_P1]) / SUM([QTD_TOTAL_INTERNACAO_P1]) ,
176,[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1_G],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1_G (copy)_292734014339919891],IF [DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_NORMALIZACAO_GERAL] < [Parameters].[PARAM_REGRA_CORES_INFERIOR_BN] THEN ([CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1]) ELSE NULL END ,
177,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1_GERAL],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1_PRESTADOR (copy)_502714352505823240],( { FIXED   :  SUM([VAL_PAGO_REEMBOLSO_HONORARIO_MEDICO_P1]) / SUM([QTD_TOTAL_INTERNACAO_P1]) } ) ,// INDICADOR 
178,[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1_PRESTADOR],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1_PRESTADOR (copy)_943504153310138383],( { FIXED [NME_FANTASIA_PRESTADOR]  :  SUM([VAL_PAGO_REDE_MATERIAIS_P1]) / SUM([QTD_TOTAL_INTERNACAO_P1]) } ) ,// INDICADOR 
179,[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1_R],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1_R (copy)_292734014339919892],IF [DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_NORMALIZACAO_GERAL] > [Parameters].[PARAM_REGRA_CORES_SUPERIOR_BN] THEN ([CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1]) ELSE NULL END ,
180,[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1_Y],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1_Y (copy)_292734014339919893],IF [DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_NORMALIZACAO_GERAL] >= [Parameters].[PARAM_REGRA_CORES_INFERIOR_BN] AND  [DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_NORMALIZACAO_GERAL] <= [Parameters].[PARAM_REGRA_CORES_SUPERIOR_BN] THEN ([CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1]) ELSE NULL END ,
181,[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P2],[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P2 (copy)_943504153310138384],SUM([VAL_PAGO_REDE_MATERIAIS_P2]) / SUM([QTD_TOTAL_INTERNACAO_P2]) ,
182,[CUSTO_MEDIO_INTERNACOES_P2],[CUSTO_MEDIO_INTERNACOES_P1 (copy)_197876937894391822],SUM([SINISTRO_P2]) / SUM([QTD_TOTAL_INTERNACAO_P2]) ,
183,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_P1],[CUSTO_MEDIO_INTERNACOES_P1 (copy)_197876937981493272],SUM([VAL_PAGO_REDE_HONORARIO_MEDICO_P1]) / SUM([QTD_TOTAL_INTERNACAO_P1]) ,
184,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_G],[CUSTO_MEDIO_INTERNACOES_P1_G (copy)_292734014330712074],IF [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_NORMALIZACAO_GERAL] < [Parameters].[PARAM_REGRA_CORES_INFERIOR_BN] THEN ([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1]) ELSE NULL END ,
185,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_P1_PRESTADOR],[CUSTO_MEDIO_INTERNACOES_P1_PRESTADOR (copy)_197876937981493273],( { FIXED [NME_FANTASIA_PRESTADOR]  :  SUM([VAL_PAGO_REDE_HONORARIO_MEDICO_P1]) / SUM([QTD_TOTAL_INTERNACAO_P1]) } ) ,// INDICADOR 
186,[CUSTO_MEDIO_INTERNACOES_P1_GERAL],[CUSTO_MEDIO_INTERNACOES_P1_PRESTADOR (copy)_502714352501747714],( { FIXED  :  SUM([SINISTRO_P1]) / SUM([QTD_TOTAL_INTERNACAO_P1]) } ) ,// INDICADOR 
187,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_R],[CUSTO_MEDIO_INTERNACOES_P1_R (copy)_292734014330712075],IF [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_NORMALIZACAO_GERAL] > [Parameters].[PARAM_REGRA_CORES_SUPERIOR_BN] THEN ([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1]) ELSE NULL END ,
188,[CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_Y],[CUSTO_MEDIO_INTERNACOES_P1_Y (copy)_292734014330712076],IF [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_NORMALIZACAO_GERAL] >= [Parameters].[PARAM_REGRA_CORES_INFERIOR_BN] AND  [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_NORMALIZACAO_GERAL] <= [Parameters].[PARAM_REGRA_CORES_SUPERIOR_BN] THEN ([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1]) ELSE NULL END ,
189,[CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_P1],[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1 (copy)_943504153328619549],SUM([VAL_PAGO_REDE_MEDICAMENTOS_P1]) / SUM([QTD_TOTAL_INTERNACAO_P1]) ,
190,[CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_P1_G],[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1_G (copy)_292734014350962710],IF [DESV_CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_NORMALIZACAO_GERAL] < [Parameters].[PARAM_REGRA_CORES_INFERIOR_BN] THEN ([CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_P1]) ELSE NULL END ,
191,[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1_GERAL],[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1_PRESTADOR (copy)_502714352506966026],( { FIXED  :  SUM([VAL_PAGO_REDE_MATERIAIS_P1]) / SUM([QTD_TOTAL_INTERNACAO_P1]) } ) ,// INDICADOR 
192,[CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_P1_PRESTADOR],[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1_PRESTADOR (copy)_943504153328619550],( { FIXED [NME_FANTASIA_PRESTADOR]  :  SUM([VAL_PAGO_REDE_MEDICAMENTOS_P1]) / SUM([QTD_TOTAL_INTERNACAO_P1]) } ) ,// INDICADOR 
193,[CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_P1_R],[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1_R (copy)_292734014350962711],IF [DESV_CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_NORMALIZACAO_GERAL] > [Parameters].[PARAM_REGRA_CORES_SUPERIOR_BN] THEN ([CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_P1]) ELSE NULL END ,
194,[CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_P1_Y],[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1_Y (copy)_292734014350962712],IF [DESV_CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_NORMALIZACAO_GERAL] >= [Parameters].[PARAM_REGRA_CORES_INFERIOR_BN] AND  [DESV_CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_NORMALIZACAO_GERAL] <= [Parameters].[PARAM_REGRA_CORES_SUPERIOR_BN] THEN ([CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_P1]) ELSE NULL END ,
195,[CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_P2],[CUSTO_MEDIO_MATERIAIS_INTERNACOES_P2 (copy)_943504153328619551],SUM([VAL_PAGO_REDE_MEDICAMENTOS_P2]) / SUM([QTD_TOTAL_INTERNACAO_P2]) ,
196,[CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_P1_GERAL],[CUSTO_MEDIO_MEDICAMENTOS_INTERNACOES_P1_PRESTADOR (copy)_502714352508801036],( { FIXED  :  SUM([VAL_PAGO_REDE_MEDICAMENTOS_P1]) / SUM([QTD_TOTAL_INTERNACAO_P1]) } ) ,// INDICADOR 
197,[FILTRO_TIMELINE],[Calculation_161285193387692035],IF [FILTRO_P1] THEN 'P1' ELSEIF [FILTRO_P2] THEN 'P2' ELSE 'OUT' END ,
198,[SINISTRO_P1_G],[Calculation_1827898539714772995],IF [DESV_SINISTRO_NORMALIZACAO] < [Parameters].[PARAM_REGRA_CORES_INFERIOR_BN] THEN SUM([SINISTRO_P1]) ELSE NULL END ,
199,[TT_INTERNACAO_GERAL_P1],[Calculation_637540870403854390],sum({FIXED: sum([TT_INTERNACAO_P1])}) ,
200,[QTD_TOTAL_DIAS_INTERNADO_P1],[Calculation_637540870410207309],IF      [FILTRO_P1]  THEN     [QTD_TOTAL_DIAS_INTERNADO] ELSE      NULL END ,
201,[REPRES_TOTAL_INTERNACAO_P1],[Calculation_648799848214827013],sum([TT_INTERNACAO_P1]) / [TT_INTERNACAO_GERAL_P1] ,
202,[FILTRO_DATA_INI_P1],[Calculation_785596693957873664],"{FIXED : MAX(DATE(DATEADD('month', -11, DATETRUNC('month', {FIXED : MAX([DAT_MES_REFERENCIA])}))) )} ",
203,[FILTRO],[Calculation_989103094207533060],([DAT_MES_REFERENCIA] >= [Parameters].[Data_Ini_P1] AND  [DAT_MES_REFERENCIA] <= [Parameters].[Data_Fim_P1]) OR ([DAT_MES_REFERENCIA] >= [Parameters].[Data_Ini_P2] AND  [DAT_MES_REFERENCIA] <= [Parameters].[Data_Fim_P2]) ,
204,[FILTRO_P1],[Calculation_989103094207995909],([DAT_MES_REFERENCIA] >= [Parameters].[Data_Ini_P1] AND  [DAT_MES_REFERENCIA] <= [Parameters].[Data_Fim_P1]) ,
205,[QTD_TOTAL_INTERNACAO_P1],[Calculation_989103094209204235],IF [FILTRO_P1] THEN [QTD_DISTINTA_INTERNACAO] ELSE  NULL END ,
206,[DESV_QTD_INTERNACAO_MEDIANA],[Calculation_989103094233624603],{ FIXED : MEDIAN(( { FIXED [NME_FANTASIA_PRESTADOR] :  ( SUM([TT_INTERNACAO_P1]) ) } )) } ,// INDICADOR 
207,[VAR_IDADE_MEDIA],[Crescimento Representatividade (cópia)_648799848219643920],( AVG([QTD_IDADE_P1]) - AVG([QTD_IDADE_P2]) ) / AVG([QTD_IDADE_P2]) ,
208,[VAR_QTD_BENEFICIARIO],[Crescimento Total de internacao (cópia)_648799848217169930],( sum([QTD_BENEFICIARIO_P1]) - sum([QTD_BENEFICIARIO_P2]) ) / sum([QTD_BENEFICIARIO_P2]) ,
209,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_DESVIO_PADRAO],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_DESVIO_PADRAO (copy)_197876938251411495],{ FIXED : STDEVP(( { FIXED [NME_FANTASIA_PRESTADOR] :  ([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1]) } )) } ,// Desvio Padrão 
210,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_FINAL],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_FINAL (copy)_197876938251411496],IF ATTR([NME_FANTASIA_PRESTADOR]) = 'PRESTADOR'  OR ISNULL(SUM([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_PRESTADOR])) THEN NULL ELSEIF (SUM([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_PRESTADOR]) < SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_MEDIANA])) THEN  [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_NORM_MIN_MAX] * -1 ELSE [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_NORM_MIN_MAX] END ,// CALCULO FINAL 
211,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_DESVIO_PADRAO],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_DESVIO_PADRAO (copy)_943504152670883843],{ FIXED : STDEVP(( { FIXED [NME_FANTASIA_PRESTADOR] :  ([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1]) } )) } ,// Desvio Padrão 
212,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_FINAL],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_FINAL (copy)_943504152670883844],IF ATTR([NME_FANTASIA_PRESTADOR]) = 'PRESTADOR'  OR ISNULL(SUM([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1_PRESTADOR])) THEN NULL ELSEIF (SUM([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1_PRESTADOR]) < SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_MEDIANA])) THEN  [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_NORM_MIN_MAX] * -1 ELSE [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_NORM_MIN_MAX] END ,// CALCULO FINAL 
213,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_MAX],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_MAX (copy)_943504152670883845],{ FIXED : MAX (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_SOMA]) } )) } ,// MIN 
214,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_MEDIANA],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_MEDIANA (copy)_943504152670883846],{ FIXED : MEDIAN(( { FIXED [NME_FANTASIA_PRESTADOR] :  ([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1]) } )) } ,// MEDIANA 
215,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_MIN],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_MIN (copy)_943504152670883847],{ FIXED : MIN (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_SOMA]) } )) } ,// MIN 
216,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_NORMALIZACAO_GERAL],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_NORMALIZACAO (copy)_502714352504909831],(SUM([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_P1_PRESTADOR]) - SUM([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_P1_GERAL])) / SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
217,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_NORMALIZACAO],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_NORMALIZACAO (copy)_943504152670883848],(SUM([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_P1_PRESTADOR]) - SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_MEDIANA])) / SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
218,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_NORM_MIN_MAX],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_NORM_MIN_MAX (copy)_943504152670883849], ZN( ([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_SOMA] - SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_MIN]))  /  (SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_MAX]) - SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_MIN])) ) ,// (x - x_minimo) / (x_maximo - x_minimo) 
219,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_SOMA],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_HM_SOMA (copy)_943504152670883850],SUM([DESV_QTD_INTERNACAO_NORMALIZACAO]) + [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_NORMALIZACAO] ,// SOMA DAS NORMALIZAÇÕES 
220,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_MAX],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_MAX (copy)_197876938251411497],{ FIXED : MAX (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_SOMA]) } )) } ,// MIN 
221,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_MEDIANA],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_MEDIANA (copy)_197876938251411498],{ FIXED : MEDIAN(( { FIXED [NME_FANTASIA_PRESTADOR] :  ([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1]) } )) } ,// MEDIANA 
222,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_MIN],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_MIN (copy)_197876938251411499],{ FIXED : MIN (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_SOMA]) } )) } ,// MIN 
223,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_NORMALIZACAO],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_NORMALIZACAO (copy)_197876938251411500],(SUM([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_PRESTADOR]) - SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_MEDIANA])) / SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
224,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_NORMALIZACAO_GERAL],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_NORMALIZACAO (copy)_502714352503840773],(SUM([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_PRESTADOR]) - SUM([CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_P1_GERAL])) / SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
225,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_NORM_MIN_MAX],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_NORM_MIN_MAX (copy)_197876938251411501], ZN( ([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_SOMA] - SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_MIN]))  /  (SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_MAX]) - SUM([DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_MIN])) ) ,// (x - x_minimo) / (x_maximo - x_minimo) 
226,[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_SOMA],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_SOMA (copy)_197876938251411502],SUM([DESV_QTD_INTERNACAO_NORMALIZACAO]) + [DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REDE_NORMALIZACAO] ,// SOMA DAS NORMALIZAÇÕES 
227,[DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_DESVIO_PADRAO],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_DESVIO_PADRAO (copy)_943504153310138385],{ FIXED : STDEVP(( { FIXED [NME_FANTASIA_PRESTADOR] :  ([CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1]) } )) } ,// Desvio Padrão 
228,[DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_FINAL],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_FINAL (copy)_943504153310138386],IF ATTR([NME_FANTASIA_PRESTADOR]) = 'PRESTADOR'  OR ISNULL(SUM([CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1_PRESTADOR])) THEN NULL ELSEIF (SUM([CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1_PRESTADOR]) < SUM([DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_MEDIANA])) THEN  [DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_NORM_MIN_MAX] * -1 ELSE [DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_NORM_MIN_MAX] END ,// CALCULO FINAL 
229,[DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_MAX],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_MAX (copy)_943504153310138387],{ FIXED : MAX (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_SOMA]) } )) } ,// MIN 
230,[DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_MEDIANA],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_MEDIANA (copy)_943504153310138388],{ FIXED : MEDIAN(( { FIXED [NME_FANTASIA_PRESTADOR] :  ([CUSTO_MEDIO_MATERIAIS_INTERNACOES_P1]) } )) } ,// MEDIANA 
231,[DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_MIN],[DESV_CUSTO_MEDIO_HOSPITALAR_INTERNACOES_REEMBOLSO_HM_MIN (copy)_943504153310138389],{ FIXED : MIN (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_CUSTO_MEDIO_MATERIAIS_INTERNACOES_SOMA]) } )) } ,// MIN 
